ID,TARGET
2,0.05642484
5,0.05642484
6,0.011873652
7,0.018483168
9,0.011873652
11,0.08867954
12,0.021436796
15,0.055305317
16,0.049313776
17,0.027047554
19,0.041892275
21,0.011873652
22,0.026851736
24,0.02114931
27,0.023431933
28,0.031024273
30,0.033994876
33,0.018030243
35,0.02114931
37,0.032620616
38,0.042572085
40,0.08901183
41,0.018030243
44,0.014629762
46,0.04079692
47,0.029342271
48,0.018030243
50,0.018030243
52,0.07909369
53,0.018030243
55,0.02114931
57,0.01131711
58,0.037766837
59,0.018030243
62,0.03453271
63,0.02114931
64,0.03226168
65,0.030154873
67,0.034880854
69,0.07625682
70,0.018030243
71,0.04876867
72,0.011873652
73,0.014932026
76,0.0151600465
78,0.016418504
79,0.04712103
81,0.019896716
85,0.02114931
86,0.018030243
89,0.048648413
94,0.037095595
96,0.018030243
97,0.025727114
98,0.12961507
99,0.018483168
100,0.0885924
103,0.058099896
104,0.018030243
108,0.018201537
110,0.011873652
112,0.0369521
114,0.018030243
116,0.023583988
117,0.014524293
119,0.12961507
120,0.016259344
121,0.011873652
123,0.028482694
124,0.048648413
126,0.011873652
128,0.07617091
129,0.089061916
133,0.09129844
138,0.048710644
147,0.018030243
149,0.013923595
158,0.018030243
160,0.018483168
164,0.04522666
167,0.09129844
168,0.026931774
174,0.018483168
181,0.03510704
185,0.055935424
187,0.01131711
189,0.028377974
190,0.07676399
194,0.014252902
197,0.055693183
198,0.018483168
201,0.051994912
205,0.014128423
208,0.05953925
211,0.02114931
216,0.04453165
219,0.049202465
223,0.01670201
224,0.058099896
226,0.018030243
229,0.023924192
230,0.030035581
237,0.031429783
238,0.018483168
240,0.056418635
243,0.12608607
245,0.0893898
246,0.086677074
247,0.017977959
248,0.021288926
249,0.018030243
250,0.08901183
251,0.011873652
255,0.058759015
256,0.061017387
257,0.085351236
260,0.0885924
261,0.011419615
263,0.059922587
264,0.058099896
267,0.014428583
268,0.034994315
272,0.013372407
274,0.017601972
275,0.018030243
277,0.058099896
278,0.07847163
280,0.014653592
281,0.0184239
282,0.06335337
283,0.02114931
284,0.035378244
286,0.015998686
290,0.027137458
291,0.052062187
293,0.02114931
295,0.04857164
297,0.011873652
298,0.059404746
300,0.014534575
304,0.020542927
305,0.023139503
308,0.013923595
309,0.018483168
310,0.016138965
312,0.052062187
313,0.059922587
315,0.022937546
317,0.03570247
318,0.018030243
321,0.0231708
323,0.053342294
325,0.017613538
326,0.018030243
327,0.02114931
328,0.038782626
329,0.034880854
330,0.01131711
331,0.024645196
334,0.053094525
335,0.01634308
336,0.059792973
337,0.016783373
338,0.018483168
339,0.018030243
341,0.06374837
343,0.055693183
346,0.011873652
348,0.018030243
350,0.039154354
351,0.011419615
352,0.018030243
357,0.077080734
358,0.02114931
360,0.013923595
361,0.018030243
364,0.022285925
365,0.049194172
366,0.030425986
367,0.018030243
368,0.012549387
370,0.018030243
372,0.015121685
376,0.011873652
377,0.011873652
379,0.022713458
380,0.018030243
381,0.077645846
385,0.02114931
386,0.048648413
389,0.05642484
391,0.07625682
392,0.018030243
393,0.02114931
395,0.027768577
396,0.018483168
397,0.011419615
398,0.04004643
399,0.041892275
400,0.013923595
401,0.017271113
403,0.014296031
405,0.041843154
406,0.041892275
409,0.018030243
411,0.02630837
413,0.01131711
418,0.014301152
419,0.018483168
422,0.018030243
424,0.08901183
425,0.040199034
427,0.018030243
430,0.011873652
431,0.018030243
434,0.018030243
435,0.048648413
437,0.059404746
438,0.015451116
439,0.0885924
442,0.02114931
446,0.02114931
450,0.02663513
451,0.018030243
452,0.023656622
454,0.011873652
455,0.018847117
463,0.02114931
464,0.02114931
465,0.018030243
467,0.059922587
468,0.032956056
470,0.030397631
472,0.042383958
473,0.018483168
475,0.030689813
476,0.018030243
479,0.018030243
481,0.023139503
483,0.055935424
484,0.013392232
486,0.05642484
487,0.018030243
491,0.041892275
494,0.018483168
495,0.01131711
497,0.023588765
498,0.016879823
499,0.02114931
503,0.018030243
504,0.031015323
505,0.018030243
506,0.014172606
507,0.0370238
508,0.058099896
509,0.02114931
510,0.017749181
511,0.048314404
512,0.06243426
516,0.01131711
518,0.048648413
519,0.025076577
520,0.01579449
521,0.018030243
522,0.013736014
524,0.08901183
525,0.016243007
526,0.018030243
528,0.018030243
529,0.027812082
531,0.08708348
532,0.07847163
534,0.077080734
536,0.035556864
539,0.077080734
540,0.027530946
541,0.018030243
542,0.037095595
545,0.022987852
546,0.018030243
552,0.027768577
556,0.011873652
557,0.018030243
559,0.025815234
562,0.01795933
563,0.025426457
565,0.030553548
569,0.011873652
570,0.08729887
574,0.028037477
575,0.018030243
585,0.018483168
589,0.018254682
590,0.022261575
592,0.018483168
593,0.033542566
594,0.018950079
595,0.018030243
597,0.013525116
601,0.011873652
603,0.02114931
604,0.01131711
605,0.052062187
607,0.018030243
608,0.012619583
610,0.018483168
612,0.055693183
613,0.055916194
615,0.011419615
616,0.07847163
617,0.041892275
619,0.027768577
620,0.078992255
621,0.018030243
624,0.043020796
625,0.02087001
628,0.018030243
629,0.09030761
630,0.048648413
632,0.04876867
634,0.011873652
637,0.02114931
638,0.023272134
642,0.030154873
643,0.014428583
644,0.06311829
646,0.011873652
655,0.04374216
660,0.018483168
664,0.041826744
665,0.077645846
666,0.018030243
670,0.08901183
671,0.080650985
672,0.014013169
675,0.011873652
676,0.048648413
677,0.018030243
678,0.017832488
680,0.018030243
683,0.079672284
684,0.02114931
685,0.05642484
691,0.025987804
693,0.01131711
696,0.011873652
698,0.013343743
699,0.018030243
700,0.017610427
703,0.018323367
704,0.036240608
705,0.02114931
707,0.058099896
709,0.08636038
711,0.0885924
713,0.018030243
716,0.018030243
719,0.018030243
721,0.018483168
722,0.018750478
723,0.024718102
724,0.013923595
727,0.011873652
728,0.018483168
729,0.018030243
733,0.018030243
736,0.018415723
739,0.05122059
742,0.0885924
743,0.017443506
744,0.0148155
745,0.08901183
747,0.015023855
749,0.02114931
750,0.034880854
751,0.034044337
752,0.011873652
755,0.014028587
756,0.011419615
762,0.04302396
763,0.018483168
764,0.03184144
765,0.041892275
766,0.018483168
769,0.034880854
770,0.08677026
773,0.018483168
774,0.055935424
776,0.030154873
777,0.034880854
778,0.014266952
779,0.018030243
780,0.018030243
781,0.063116245
786,0.059307504
788,0.018483168
794,0.037095595
796,0.0885924
801,0.03332852
802,0.042661835
803,0.015085071
804,0.018030243
805,0.015568185
809,0.058104016
810,0.07847163
817,0.02114931
819,0.011873652
821,0.018483168
824,0.058099896
825,0.011419615
826,0.059404746
830,0.014028587
831,0.030840097
832,0.018483168
833,0.018426197
837,0.018030243
839,0.011873652
840,0.011873652
841,0.05642484
842,0.011873652
843,0.018276384
844,0.05642484
845,0.02114931
848,0.02474322
853,0.04038016
854,0.011873652
855,0.018030243
856,0.022790128
861,0.013864482
865,0.018030243
866,0.011873652
867,0.023484726
870,0.011873652
871,0.051690515
872,0.018030243
873,0.018030243
874,0.05825351
875,0.023139503
876,0.01131711
879,0.018030243
880,0.018030243
883,0.034880854
884,0.020443492
886,0.032948602
890,0.018030243
892,0.018483168
893,0.05642484
894,0.034880854
895,0.037095595
896,0.041892275
897,0.018030243
899,0.055305317
900,0.018483168
901,0.017299965
902,0.059922587
905,0.01721602
912,0.062428385
914,0.07909369
915,0.057382055
917,0.08867954
918,0.018030243
919,0.02114931
921,0.014507805
922,0.032477647
923,0.011873652
926,0.011873652
929,0.011419615
930,0.018483168
931,0.07676399
937,0.018030243
938,0.039306942
939,0.052281205
941,0.055935424
946,0.015998686
947,0.02596584
950,0.013923595
951,0.018030243
952,0.02114931
953,0.030816803
954,0.011873652
955,0.018030243
956,0.09030761
957,0.055916194
960,0.052062187
963,0.07909369
966,0.034135886
969,0.041892275
971,0.017486064
972,0.018030243
975,0.029104384
980,0.018126316
982,0.08677026
983,0.018030243
985,0.07966307
987,0.021091413
988,0.014400495
991,0.02114931
992,0.01131711
995,0.07847163
996,0.018030243
998,0.018030243
1001,0.0893898
1002,0.018483168
1004,0.018030243
1005,0.05801095
1010,0.018030243
1011,0.01131711
1012,0.018030243
1013,0.03319943
1014,0.018483168
1015,0.037145454
1016,0.02114931
1022,0.011873652
1023,0.05642484
1024,0.018030243
1025,0.018483168
1026,0.051690515
1028,0.020443492
1029,0.015057967
1032,0.07847163
1034,0.024194526
1036,0.018483168
1037,0.014537464
1039,0.040609244
1042,0.018030243
1045,0.018030243
1046,0.034641832
1050,0.017646298
1052,0.019301776
1055,0.018030243
1057,0.013984862
1058,0.018030243
1060,0.018030243
1062,0.018483168
1063,0.018030243
1064,0.037095595
1065,0.027837466
1066,0.013493273
1067,0.058099896
1068,0.018203612
1070,0.075731486
1072,0.034880854
1077,0.09030761
1078,0.02114931
1079,0.018030243
1081,0.048648413
1082,0.059922587
1093,0.020669822
1094,0.018030243
1102,0.026238397
1103,0.04453165
1106,0.12961507
1107,0.080650985
1112,0.052062187
1113,0.018030243
1114,0.018879909
1116,0.014579955
1118,0.033883426
1120,0.018483168
1121,0.055935424
1128,0.034880854
1130,0.055305317
1132,0.018483168
1135,0.018030243
1138,0.029731695
1139,0.014028587
1141,0.018483168
1143,0.058099896
1146,0.047562983
1148,0.018030243
1149,0.031459764
1151,0.018483168
1152,0.018483168
1153,0.018483168
1155,0.03172025
1157,0.12961507
1160,0.035166197
1161,0.018030243
1162,0.03453271
1164,0.04453165
1168,0.030507969
1169,0.018030243
1174,0.06225008
1176,0.017348899
1177,0.059404746
1178,0.026168289
1180,0.021653384
1181,0.02114931
1182,0.034714974
1185,0.018483168
1190,0.018845636
1194,0.018030243
1196,0.039670125
1199,0.018030243
1200,0.026168289
1201,0.12961507
1202,0.027784603
1206,0.059922587
1207,0.029691564
1208,0.011873652
1212,0.059421133
1216,0.011873652
1219,0.018030243
1221,0.02114931
1222,0.018030243
1225,0.034880854
1227,0.018030243
1230,0.014685809
